Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners,9173,0,310.0,769.53490262749,22.890911999638774,5334.472165999614,160562.14204731278,30.63314493547608,0.0,310,870,1200,1500,2200,2500,2700,2900,4200,5300,5300
GET,GET /owners (setup),200,0,870.0,1337.1430110249362,189.998158999515,4476.691275000121,4560.54,0.6678980690172479,0.0,920,1900,2400,2500,2700,2900,3200,4300,4500,4500,4500
GET,GET /owners/{id},6936,0,73,539.4337611182324,3.5342169994692085,4300.016418999803,136.82626874279123,23.162705033518158,0.0,73,600,920,1200,1800,2000,2300,2500,3800,4300,4300
GET,GET /vets,4745,0,11,18.695206094209475,5.031532000430161,462.75263800089306,653.0,15.845881687434208,0.0,11,13,16,18,28,49,140,180,360,460,460
POST,POST /owners,2387,0,75,530.4275380406328,3.896342001098674,4525.979382000514,134.24256388772517,7.971363453720854,0.0,75,600,890,1200,1800,2000,2300,2500,3300,4500,4500
,Aggregated,23441,0,120.0,529.9570887480478,3.5342169994692085,5334.472165999614,63056.89117358474,78.28099317916654,0.0,120,390,830,1100,1900,2200,2600,2700,3900,5000,5300
