Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners,9155,0,430.0,817.8991643911506,39.64875699989534,5285.78996300007,149639.39453850355,30.63369538334324,0.0,430,930,1400,1600,2200,2500,2700,2900,3900,5300,5300
GET,GET /owners (setup),200,0,520.0,970.657542654998,168.58758999978818,4172.4176259999695,3822.52,0.6692232743493881,0.0,520,1200,1800,1900,2200,2400,3000,3300,4200,4200,4200
GET,GET /owners/{id},6840,0,150.0,551.006013039326,3.6532300000544637,4771.966049999946,137.64897660818713,22.887435982749075,0.0,150,600,1000,1200,1700,2000,2300,2400,3700,4800,4800
GET,GET /vets,4677,0,11,26.384717499252417,5.052069999919695,588.9136810001219,653.0,15.64978627066044,0.0,11,15,20,25,57,110,180,250,400,590,590
POST,POST /owners,2264,0,210.0,590.4312290220857,4.617869999947288,4168.874702000039,134.25706713780917,7.575607465635073,0.0,210,680,1100,1300,1800,2100,2300,2400,3500,4200,4200
,Aggregated,23136,0,150.0,558.0488033355373,3.6532300000544637,5285.78996300007,59431.73923755187,77.41574837673721,0.0,150,500,920,1200,1800,2200,2600,2700,3600,4800,5300
